id,entrez_gene_id,hugo_symbol,hgnc_id,id,reference_genome,ensembl_transcript_id,canonical,ensembl_protein_id,reference_sequence_id,description,ensembl_gene_id,gene_id
23762,3207,HOXA11,5101,5689,GRCh38,ENST00000006015.4,1,ENSP00000006015.3,NM_005523,,4795,23762
12129,972,CD74,1697,1806,GRCh38,ENST00000009530.13,1,ENSP00000009530.7,NM_001025159,,1530,12129
23416,608,TNFRSF17,11913,1106,GRCh38,ENST00000053243.6,1,ENSP00000053243.1,NM_001192,,939,23416
32931,2767,GNA11,4379,4773,GRCh38,ENST00000078429.9,1,ENSP00000078429.3,NM_002067.2,,4022,32931
32410,933,CD22,1643,1725,GRCh38,ENST00000085219.10,1,ENSP00000085219.4,NM_001771,,1458,32410
23404,602,BCL3,998,1093,GRCh38,ENST00000164227.10,1,ENSP00000164227.5,NM_005178,,929,23404
18194,9319,TRIP13,12307,15957,GRCh38,ENST00000166345.8,1,ENSP00000166345.3,NM_004237.3,,13440,18194
39046,2249,FGF4,3682,4052,GRCh38,ENST00000168712.3,1,ENSP00000168712.1,NM_002007.2,,3423,39046
9087,9817,KEAP1,23177,16967,GRCh38,ENST00000171111.10,1,ENSP00000171111.4,NM_203500.1,,14274,9087
4199,57103,TIGAR,1185,30152,GRCh38,ENST00000179259.6,1,ENSP00000179259.4,NM_020375,,25658,4199
40700,3294,HSD17B2,5211,5827,GRCh38,ENST00000199936.9,1,ENSP00000199936,NM_002153,,4913,40700
11607,10683,DLL3,2909,18762,GRCh38,ENST00000205143.4,1,ENSP00000205143,,,15753,11607
24628,2099,ESR1,3467,3766,GRCh38,ENST00000206249.8,1,ENSP00000206249.3,NM_001122740.1,,3189,24628
33250,5594,MAPK1,6871,9775,GRCh38,ENST00000215832.11,1,ENSP00000215832.7,NM_002745.4,,8234,33250
11486,7494,XBP1,12801,13342,GRCh38,ENST00000216037.10,1,ENSP00000216037,NM_005080.3,,11232,11486
24144,3320,HSP90AA1,5253,5871,GRCh38,ENST00000216281.13,1,ENSP00000216281.8,NM_005348,,4953,24144
39010,328,APEX1,587,619,GRCh38,ENST00000216714.8,1,ENSP00000216714.3,NM_001641.4,,513,39010
27389,4792,NFKBIA,7797,8270,GRCh38,ENST00000216797.10,1,ENSP00000216797.6,NM_020529.2,,6983,27389
33490,57761,TRIB3,16228,31001,GRCh38,ENST00000217233.9,1,ENSP00000217233.3,NM_001301188,,26371,33490
15618,10735,STAG2,11355,18831,GRCh38,ENST00000218089.13,1,ENSP00000218089.9,NM_001042749.1,,15809,15618
15631,63035,BCORL1,25657,31409,GRCh38,ENST00000218147.11,1,ENSP00000218147,NM_021946.4,,26715,15631
38994,4913,NTHL1,8028,8498,GRCh38,ENST00000219066.5,1,ENSP00000219066,NM_002528.5,,7173,38994
11139,79918,SETD6,26116,33571,GRCh38,ENST00000219315.9,1,ENSP00000219315.5,NM_001160305.1,,28573,11139
25917,7249,TSC2,12363,12911,GRCh38,ENST00000219476.9,1,ENSP00000219476.3,NM_000548.3,,10866,25917
367,23269,MGA,14010,20910,GRCh38,ENST00000219905.13,1,ENSP00000219905,NM_001164273.1,,17545,367
39220,27161,AGO2,3263,23325,GRCh38,ENST00000220592.10,1,ENSP00000220592.5,NM_012154.3,,19630,39220
13888,6422,SFRP1,10776,11284,GRCh38,ENST00000220772.8,1,ENSP00000220772.3,NM_003012.4,,9512,13888
18952,27121,DKK4,2894,23257,GRCh38,ENST00000220812.3,1,ENSP00000220812.2,NM_014420.2,,19574,18952
11790,3646,EIF3E,3277,6376,GRCh38,ENST00000220849.10,1,ENSP00000220849.5,NM_001568,,5386,11790
11621,10535,RNASEH2A,18518,18458,GRCh38,ENST00000221486.6,1,ENSP00000221486.4,NM_006397,,15499,11621
12128,973,CD79A,1698,1808,GRCh38,ENST00000221972.8,1,ENSP00000221972.3,NM_001783.3,,1532,12128
2887,2057,EPOR,3416,3714,GRCh38,ENST00000222139.11,1,ENSP00000222139.5,NM_000121.3,,3143,2887
39805,5296,PIK3R2,8980,9189,GRCh38,ENST00000222254.13,1,ENSP00000222254.6,NM_005027.3,,7750,39805
34098,2077,ERF,3444,3748,GRCh38,ENST00000222329.9,1,ENSP00000222329.3,NM_006494.2,,3175,34098
20646,3082,HGF,4893,5426,GRCh38,ENST00000222390.11,1,ENSP00000222390.5,NM_000601.4,,4571,20646
7897,6198,RPS6KB1,10436,10863,GRCh38,ENST00000225577.9,1,ENSP00000225577.4,NM_003161.4,,9162,7897
38931,1655,DDX5,2746,3047,GRCh38,ENST00000225792.10,1,ENSP00000225792.5,NM_004396,,2581,38931
19810,1277,COL1A1,2197,2325,GRCh38,ENST00000225964.10,1,ENSP00000225964.6,NM_000088,,1969,19810
12200,8929,PHOX2B,9143,15312,GRCh38,ENST00000226382.4,1,ENSP00000226382.2,NM_003924.3,,12904,12200
1965,595,CCND1,1582,1078,GRCh38,ENST00000227507.3,1,ENSP00000227507.2,NM_053056.2,,915,1965
26690,2735,GLI1,4317,4725,GRCh38,ENST00000228682.7,1,ENSP00000228682.2,NM_005269.2,,3978,26690
23519,2251,FGF6,3684,4056,GRCh38,ENST00000228837.3,1,ENSP00000228837.2,NM_020996,,3427,23519
30115,1027,CDKN1B,1785,1918,GRCh38,ENST00000228872.9,1,ENSP00000228872.4,NM_004064.3,,1625,30115
24008,11021,RAB35,9774,19406,GRCh38,ENST00000229340.10,1,ENSP00000229340.5,NM_006861.6,,16294,24008
14308,2178,FANCE,3586,3910,GRCh38,ENST00000229769.3,1,ENSP00000229769.2,NM_021922,,3307,14308
30570,5754,PTK7,9618,10070,GRCh38,ENST00000230419.9,1,ENSP00000230419.4,NM_002821.5,,8494,30570
32111,4292,MLH1,7127,7535,GRCh38,ENST00000231790.8,1,ENSP00000231790.3,NM_000249.3,,6367,32111
12290,51185,CRBN,30185,25869,GRCh38,ENST00000231948.9,1,ENSP00000231948.4,NM_016302.3,,21977,12290
3872,604,BCL6,1001,1097,GRCh38,ENST00000232014.8,1,ENSP00000232014,NM_001706.4,,931,3872
21991,26528,DAZAP1,2683,22720,GRCh38,ENST00000233078.9,1,ENSP00000233078.4,NM_018959.3,,19087,21991
33139,4436,MSH2,7325,7684,GRCh38,ENST00000233146.7,1,ENSP00000233146.2,NM_000251.2,,6484,33139
724,55120,FANCL,20748,28117,GRCh38,ENST00000233741.9,1,ENSP00000233741.5,NM_018062.3,,23925,724
40578,2956,MSH6,7329,5187,GRCh38,ENST00000234420.11,1,ENSP00000234420.5,NM_000179.2,,4356,40578
38351,607,BCL9,1008,1104,GRCh38,ENST00000234739.8,1,ENSP00000234739.3,NM_004326.3,,937,38351
22985,10459,MAD2L2,6764,18300,GRCh38,ENST00000235310.7,1,ENSP00000235310,NM_001127325.1,,15371,22985
23660,471,ATIC,794,870,GRCh38,ENST00000236959.14,1,ENSP00000236959.9,NM_004044,,737,23660
1944,7128,TNFAIP3,11896,12735,GRCh38,ENST00000237289.8,1,ENSP00000237289,NM_006290.3,,10726,1944
27943,6446,SGK1,10810,11334,GRCh38,ENST00000237305.12,1,ENSP00000237305,NM_005627.3,,9552,27943
22328,8074,FGF23,3680,13967,GRCh38,ENST00000237837.2,1,ENSP00000237837.1,NM_020638,,11743,22328
12659,22936,ELL2,17064,20275,GRCh38,ENST00000237853.9,1,ENSP00000237853.4,NM_012081.6,,17027,12659
24475,1958,EGR1,3238,3511,GRCh38,ENST00000239938.5,1,ENSP00000239938.4,NM_001964.2,,2973,24475
30279,1846,DUSP4,3070,3365,GRCh38,ENST00000240100.7,1,ENSP00000240100.2,NM_001394.6,,2847,30279
29143,7852,CXCR4,2561,13808,GRCh38,ENST00000241393.4,1,ENSP00000241393.3,NM_003467.2,,11605,29143
31644,92,ACVR2A,173,172,GRCh38,ENST00000241416.12,1,ENSP00000241416.7,NM_001278579,,142,31644
20899,2322,FLT3,3765,4209,GRCh38,ENST00000241453.12,1,ENSP00000241453.7,NM_004119.2,,3548,20899
2257,3624,INHBA,6066,6335,GRCh38,ENST00000242208.5,1,ENSP00000242208.4,NM_002192.2,,5352,2257
24474,1959,EGR2,3239,3513,GRCh38,ENST00000242480.4,1,ENSP00000242480.3,NM_000399.5,,2975,24474
2254,3623,INHA,6065,6333,GRCh38,ENST00000243786.3,1,ENSP00000243786.2,NM_002191.3,,5350,2254
22123,3007,H1-3,4717,5290,GRCh38,ENST00000244534.7,1,ENSP00000244534.6,NM_005320.2,,4451,22123
28703,8361,H4C6,4783,14243,GRCh38,ENST00000244537.6,1,ENSP00000244537.6,NM_003540,,11989,28703
30116,1026,CDKN1A,1784,1916,GRCh38,ENST00000244741.10,1,ENSP00000244741.6,NM_078467.2,,1623,30116
27252,3659,IRF1,6116,6394,GRCh38,ENST00000245414.9,1,ENSP00000245414.4,NM_002198.2,,5402,27252
35734,6662,SOX9,11204,11790,GRCh38,ENST00000245479.3,1,ENSP00000245479.2,NM_000346.3,,9937,35734
12131,970,CD70,11937,1801,GRCh38,ENST00000245903.4,1,ENSP00000245903.2,NM_001252,,1526,12131
32193,6237,RRAS,10447,10932,GRCh38,ENST00000246792.4,1,ENSP00000246792.2,NM_006270.3,,9222,32193
22054,7186,TRAF2,12032,12859,GRCh38,ENST00000247668.7,1,ENSP00000247668.2,NM_021138.3,,10824,22054
5757,10365,KLF2,6347,18124,GRCh38,ENST00000248071.6,1,ENSP00000248071.5,NM_016270.2,,15220,5757
27191,14,AAMP,18,21,GRCh38,ENST00000248450.9,1,ENSP00000248450.4,NM_001087.5,,18,27191
12967,5880,RAC2,9802,10278,GRCh38,ENST00000249071.11,1,ENSP00000249071.6,NM_002872.4,,8672,12967
9841,6608,SMO,11119,11676,GRCh38,ENST00000249373.8,1,ENSP00000249373.3,NM_005631.4,,9833,9841
41852,90417,KNSTRN,30767,37125,GRCh38,ENST00000249776.13,1,ENSP00000249776.8,NM_033286.3,,31630,41852
27683,8930,MBD4,6919,15315,GRCh38,ENST00000249910.5,1,ENSP00000249910,NM_003925,,12906,27683
26245,4654,MYOD1,7611,8010,GRCh38,ENST00000250003.4,1,ENSP00000250003.3,NM_002478.4,,6771,26245
41628,9098,USP6,12629,15580,GRCh38,ENST00000250066.6,1,ENSP00000250066,NM_004505,,13120,41628
12134,599,BCL2L2,995,1087,GRCh38,ENST00000250405.10,1,ENSP00000250405.6,NM_004050,,923,12134
40067,3169,FOXA1,5021,5609,GRCh38,ENST00000250448.5,1,ENSP00000250448.3,NM_004496.3,,4731,40067
28539,5894,RAF1,9829,10309,GRCh38,ENST00000251849.9,1,ENSP00000251849.4,NM_002880.3,,8698,28539
38773,2006,ELN,3327,3608,GRCh38,ENST00000252034.12,1,ENSP00000252034.7,NM_000501,,3051,38773
32103,4298,MLLT1,7134,7550,GRCh38,ENST00000252674.9,1,ENSP00000252674.6,NM_005934.3,,6379,32103
5276,83667,SESN2,20746,35072,GRCh38,ENST00000253063.4,1,ENSP00000253063.3,NM_031459.4,,29890,5276
2076,9113,LATS1,6514,15608,GRCh38,ENST00000253339.9,1,ENSP00000253339,NM_004690.3,,13142,2076
24958,5914,RARA,9864,10353,GRCh38,ENST00000254066.10,1,ENSP00000254066.5,NM_000964.3,,8734,24958
16737,2521,FUS,4010,4334,GRCh38,ENST00000254108.12,1,ENSP00000254108.8,NM_004960,,3660,16737
8650,3337,DNAJB1,5270,5896,GRCh38,ENST00000254322.3,1,ENSP00000254322.1,NM_006145.1,,4973,8650
11267,3021,H3-3B,4765,5314,GRCh38,ENST00000254810.8,1,ENSP00000254810.3,NM_005324.3,,4471,11267
31897,694,BTG1,1130,1272,GRCh38,ENST00000256015.5,1,ENSP00000256015.3,NM_001731.2,,1079,31897
37125,22800,RRAS2,17271,20018,GRCh38,ENST00000256196.9,1,ENSP00000256196.4,NM_012250.5,,16807,37125
25469,7428,VHL,12687,13227,GRCh38,ENST00000256474.3,1,ENSP00000256474.3,NM_000551.3,,11140,25469
38776,4853,NOTCH2,7882,8386,GRCh38,ENST00000256646.7,1,ENSP00000256646.2,NM_024408.3,,7077,38776
23364,1643,DDB2,2718,3019,GRCh38,ENST00000256996.9,1,ENSP00000256996.4,NM_000107,,2561,23364
10061,2346,FOLH1,3788,4244,GRCh38,ENST00000256999.7,1,ENSP00000256999.2,NM_004476,,3578,10061
25541,9698,PUM1,14957,16698,GRCh38,ENST00000257075.9,1,ENSP00000257075,NM_014676,,14062,25541
40876,187,APLNR,339,363,GRCh38,ENST00000257254.3,1,ENSP00000257254,NM_005161.4,,298,40876
41828,5156,PDGFRA,8803,8917,GRCh38,ENST00000257290.10,1,ENSP00000257290.5,NM_006206.4,,7522,41828
39008,324,APC,583,611,GRCh38,ENST00000257430.9,1,ENSP00000257430.4,NM_000038.5,,505,39008
17477,4440,MSI1,7330,7693,GRCh38,ENST00000257552.7,1,ENSP00000257552.2,NM_002442.3,,6492,17477
34385,6927,HNF1A,11621,12326,GRCh38,ENST00000257555.11,1,ENSP00000257555.5,NM_000545.5,,10375,34385
37698,6926,TBX3,11602,12324,GRCh38,ENST00000257566.7,1,ENSP00000257566,NM_016569.3,,10373,37698
30277,1840,DTX1,3060,3353,GRCh38,ENST00000257600.3,1,ENSP00000257600,NM_004416.2,,2835,30277
21505,60468,BACH2,14078,31320,GRCh38,ENST00000257749.9,1,ENSP00000257749.4,NM_001170794.1,,26631,21505
34865,1019,CDK4,1773,1902,GRCh38,ENST00000257904.11,1,ENSP00000257904.5,NM_000075.3,,1611,34865
31641,91,ACVR1B,172,170,GRCh38,ENST00000257963.9,1,ENSP00000257963.4,NM_004302,,140,31641
11288,4193,MDM2,6973,7380,GRCh38,ENST00000258149.11,1,ENSP00000258149.6,NM_002392.5,,6241,11288
15101,55654,TMEM127,26038,28895,GRCh38,ENST00000258439.8,1,ENSP00000258439.3,NM_017849.4,,24591,15101
25999,160428,ALDH1L2,26777,42847,GRCh38,ENST00000258494.14,1,ENSP00000258494.9,NM_001034173,,36647,25999
12030,83990,BRIP1,20473,35339,GRCh38,ENST00000259008.7,1,ENSP00000259008.2,NM_032043.2,,30109,12030
30223,11143,KAT7,17016,19643,GRCh38,ENST00000259021.9,1,ENSP00000259021.4,NM_007067,,16495,30223
28482,580,BARD1,952,1056,GRCh38,ENST00000260947.9,1,ENSP00000260947.4,NM_000465.2,,895,28482
30677,894,CCND2,1583,1648,GRCh38,ENST00000261254.8,1,ENSP00000261254.3,NM_001759.3,,1388,30677
1473,4040,LRP6,6698,7077,GRCh38,ENST00000261349.9,1,ENSP00000261349.4,NM_002336.2,,5989,1473
37045,51274,KLF3,16516,26016,GRCh38,ENST00000261438.10,1,ENSP00000261438.5,NM_016531.5,,22106,37045
31691,7188,TRAF5,12035,12864,GRCh38,ENST00000261464.10,1,ENSP00000261464.5,NM_001033910.2,,10828,31691
21401,79728,PALB2,26144,33223,GRCh38,ENST00000261584.9,1,ENSP00000261584.4,NM_024675.3,,28275,21401
32741,217,ALDH2,404,413,GRCh38,ENST00000261733.7,1,ENSP00000261733.2,NM_000690,,340,32741
41604,999,CDH1,1748,1856,GRCh38,ENST00000261769.10,1,ENSP00000261769.4,NM_004360.3,,1570,41604
41818,5159,PDGFRB,8804,8924,GRCh38,ENST00000261799.9,1,ENSP00000261799.4,NM_002609.3,,7528,41818
38336,605,BCL7A,1004,1100,GRCh38,ENST00000261822.5,1,ENSP00000261822.5,NM_001024808,,933,38336
20903,2324,FLT4,3767,4214,GRCh38,ENST00000261937.11,1,ENSP00000261937.6,NM_182925.4,,3552,20903
24285,5289,PIK3C3,8974,9171,GRCh38,ENST00000262039.9,1,ENSP00000262039.3,NM_002647.2,,7736,24285
39145,466,ATF1,783,861,GRCh38,ENST00000262053.8,1,ENSP00000262053.3,NM_005171.4,,729,39145
24721,4087,SMAD2,6768,7170,GRCh38,ENST00000262160.11,1,ENSP00000262160.6,NM_001003652.3,,6071,24721
20737,6009,RHEB,10011,10549,GRCh38,ENST00000262187.10,1,ENSP00000262187.5,NM_005614.3,,8900,20737
36614,58508,KMT2C,13726,31163,GRCh38,ENST00000262189.11,1,ENSP00000262189.6,NM_170606.2,,26503,36614
38063,7528,YY1,12856,13388,GRCh38,ENST00000262238.10,1,ENSP00000262238.4,NM_003403.4,,11270,38063
18428,79817,MOB3B,23825,33386,GRCh38,ENST00000262244.6,1,ENSP00000262244.5,NM_024761.4,,28411,18428
11739,8312,AXIN1,903,14148,GRCh38,ENST00000262320.8,1,ENSP00000262320.3,NM_003502.3,,11904,11739
24026,1387,CREBBP,2348,2536,GRCh38,ENST00000262367.10,1,ENSP00000262367.5,NM_004380.2,,2149,24026
1671,2294,FOXF1,3809,4149,GRCh38,ENST00000262426.6,1,ENSP00000262426.4,NM_001451.2,,3494,1671
32953,9739,SETD1A,29010,16795,GRCh38,ENST00000262519.14,1,ENSP00000262519.8,NM_014712.2,,14138,32953
24444,9368,NHERF1,11075,16047,GRCh38,ENST00000262613.10,1,ENSP00000262613.5,NM_004252,,13518,24444
30681,898,CCNE1,1589,1656,GRCh38,ENST00000262643.8,1,ENSP00000262643.3,NM_001238.2,,1396,30681
3693,1031,CDKN2C,1789,1930,GRCh38,ENST00000262662.5,1,ENSP00000262662,NM_078626.2,,1633,3693
30611,84962,AJUBA,20250,36527,GRCh38,ENST00000262713.7,1,ENSP00000262713.2,NM_032876.5,,31125,30611
15879,23239,PHLPP1,20610,20842,GRCh38,ENST00000262719.10,1,ENSP00000262719.4,NM_194449,,17493,15879
21965,8503,PIK3R3,8981,14480,GRCh38,ENST00000262741.10,1,ENSP00000262741.5,NM_003629.3,,12197,21965
35897,5976,UPF1,9962,10469,GRCh38,ENST00000262803.10,1,ENSP00000262803.5,NM_002911.3,,8834,35897
2542,8178,ELL,23114,14032,GRCh38,ENST00000262809.9,1,ENSP00000262809.3,NM_006532,,11804,2542
37869,5063,PAK3,8592,8739,GRCh38,ENST00000262836.6,1,ENSP00000262836,NM_001128173,,7375,37869
5404,7515,XRCC1,12828,13368,GRCh38,ENST00000262887.10,1,ENSP00000262887.5,NM_006297,,11256,5404
37394,5605,MAP2K2,6842,9799,GRCh38,ENST00000262948.10,1,ENSP00000262948.4,NM_030662.3,,8256,37394
2529,7089,TLE2,11838,12646,GRCh38,ENST00000262953.11,1,ENSP00000262953.5,NM_003260.4,,10650,2529
20996,8821,INPP4B,6075,15097,GRCh38,ENST00000262992.9,1,ENSP00000262992.4,NM_001101669.1,,12725,20996
27606,2549,GAB1,4066,84608,GRCh38,ENST00000262995.9,1,ENSP00000262995.4,,NULL,3703,27606
33249,5595,MAPK3,6877,9777,GRCh38,ENST00000263025.9,1,ENSP00000263025.4,NM_002746.2,,8236,33249
22735,7290,HIRA,4916,12981,GRCh38,ENST00000263208.5,1,ENSP00000263208.5,NM_003325,,10926,22735
12367,2033,EP300,3373,3659,GRCh38,ENST00000263253.9,1,ENSP00000263253.7,NM_001429.3,,3095,12367
16636,8726,EED,3188,14921,GRCh38,ENST00000263360.11,1,ENSP00000263360.6,NM_003797.3,,12572,16636
13342,23476,BRD4,13575,21283,GRCh38,ENST00000263377.6,1,ENSP00000263377,NM_058243.2,,17855,13342
22360,4854,NOTCH3,7883,8388,GRCh38,ENST00000263388.7,1,ENSP00000263388.1,NM_000435.2,,7079,22360
12580,330,BIRC3,591,623,GRCh38,ENST00000263464.9,1,ENSP00000263464.4,NM_182962.2,,517,12580
19391,1820,ARID3A,3031,3308,GRCh38,ENST00000263620.8,1,ENSP00000263620.2,NM_005224.2,,2797,19391
31642,90,ACVR1,171,167,GRCh38,ENST00000263640.7,1,ENSP00000263640,NM_001111067.2,,138,31642
12366,2034,EPAS1,3374,3661,GRCh38,ENST00000263734.5,1,ENSP00000263734.3,NM_001430.4,,3097,12366
38850,4072,EPCAM,11529,7148,GRCh38,ENST00000263735.9,1,ENSP00000263735.4,NM_002354.2,,6053,38850
27995,4058,LTK,6721,7116,GRCh38,ENST00000263800.11,1,ENSP00000263800.6,NM_002344,,6025,27995
25358,10000,AKT3,393,17342,GRCh38,ENST00000263826.12,1,ENSP00000263826,NM_005465.4,,14591,25358
3452,3791,KDR,6307,6662,GRCh38,ENST00000263923.5,1,ENSP00000263923.4,NM_002253.2,,5628,3452
39811,5290,PIK3CA,8975,9173,GRCh38,ENST00000263967.4,1,ENSP00000263967.3,NM_006218.2,,7738,39811
2129,10664,CTCF,13723,18724,GRCh38,ENST00000264010.10,1,ENSP00000264010.4,NM_006565.3,,15721,2129
20084,867,CBL,1541,1609,GRCh38,ENST00000264033.6,1,ENSP00000264033.3,NM_005188.3,,1356,20084
14838,51742,ARID4B,15550,26664,GRCh38,ENST00000264183.9,1,ENSP00000264183.3,NM_001206794.1,,22664,14838
28629,7531,YWHAE,12851,13393,GRCh38,ENST00000264335.13,1,ENSP00000264335.8,NM_006761.5,,11274,28629
40113,8452,CUL3,2553,14387,GRCh38,ENST00000264414.9,1,ENSP00000264414.4,NM_003590.4,,12119,40113
388,6774,STAT3,11364,12016,GRCh38,ENST00000264657.10,1,ENSP00000264657.4,NM_139276.2,,10123,388
23515,2255,FGF10,3666,4066,GRCh38,ENST00000264664.5,1,ENSP00000264664.4,NM_004465,,3435,23515
862,790,CAD,1424,1451,GRCh38,ENST00000264705.9,1,ENSP00000264705.3,NM_001306079,,1230,862
30696,1788,DNMT3A,2978,3238,GRCh38,ENST00000264709.7,1,ENSP00000264709,NM_022552.4,,2739,30696
23974,8626,TP63,15979,14726,GRCh38,ENST00000264731.8,1,ENSP00000264731.3,NM_003722.4,,12408,23974
9350,6389,SDHA,10680,11230,GRCh38,ENST00000264932.11,1,ENSP00000264932.6,NM_004168.2,,9468,9350
11608,9175,MAP3K13,6852,15721,GRCh38,ENST00000265026.8,1,ENSP00000265026.3,NM_004721.4,,13238,11608
33138,4437,MSH3,7326,7686,GRCh38,ENST00000265081.7,1,ENSP00000265081.6,NM_002439.4,,6486,33138
16918,51176,LEF1,6551,25856,GRCh38,ENST00000265165.6,1,ENSP00000265165.1,NM_016269,,21965,16918
18956,27125,AFF4,17869,23268,GRCh38,ENST00000265343.10,1,ENSP00000265343.5,NM_014423,,19582,18956
40964,11059,WWP1,17004,19478,GRCh38,ENST00000265428.4,1,ENSP00000265428,NM_007013.3,,16359,40964
20161,4683,NBN,7652,8059,GRCh38,ENST00000265433.8,1,ENSP00000265433.4,NM_002485.4,,6813,20161
8436,7994,KAT6A,13013,13920,GRCh38,ENST00000265713.8,1,ENSP00000265713.2,NM_006766.4,,11701,8436
30117,1021,CDK6,1777,1907,GRCh38,ENST00000265734.8,1,ENSP00000265734,NM_001145306.1,,1615,30117
37885,5395,PMS2,9122,9382,GRCh38,ENST00000265849.12,1,ENSP00000265849.7,NM_000535.5,,7912,37885
24048,55749,CCAR1,24236,29081,GRCh38,ENST00000265872.11,1,ENSP00000265872.6,NM_018237.4,,24749,24048
15670,79109,MAPKAP1,18752,32597,GRCh38,ENST00000265960.8,1,ENSP00000265960.3,NM_001006617.1,,27716,15670
18625,1616,DAXX,2681,2970,GRCh38,ENST00000266000.10,1,ENSP00000266000,NM_001141970.1,,2519,18625
143,8549,LGR5,4504,14586,GRCh38,ENST00000266674.10,1,ENSP00000266674.4,NM_003667,,12285,143
29536,429,ASCL1,738,805,GRCh38,ENST00000266744.4,1,ENSP00000266744.3,NM_004316.4,,681,29536
7707,2065,ERBB3,3431,3726,GRCh38,ENST00000267101.8,1,ENSP00000267101.4,NM_001982.3,,3155,7707
29654,5925,RB1,9884,10379,GRCh38,ENST00000267163.6,1,ENSP00000267163.4,NM_000321.2,,8756,29654
14264,57697,FANCM,23168,30930,GRCh38,ENST00000267430.10,1,ENSP00000267430.5,NM_020937,,26309,14264
